originregion_id,originregion_name,destinationregion_id,destinationregion_name,regionflow_1990,regionflow_1995,regionflow_2000,regionflow_2005,xxx,origin_iso,origin_name,destination_iso,destination_name,countryflow_1990,countryflow_1995,countryflow_2000,countryflow_2005,origin_show,destination_show
5,West Asia,1,North America,159146,768199,148889,169274,,YEM,Yemen,CAN,Canada,0,1077,499,579,1,1
5,West Asia,1,North America,159146,768199,148889,169274,,YEM,Yemen,USA,United States,0,19933,17732,20903,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ARE,United Arab Emirates,ARE,United Arab Emirates,0,0,0,0,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ARE,United Arab Emirates,BHR,Bahrain,905,1264,2828,11623,1,0
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ARE,United Arab Emirates,CYP,Cyprus,44,145,194,190,1,0
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ARE,United Arab Emirates,IRQ,Iraq,252,294,297,253,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ARE,United Arab Emirates,ISR,Israel,26,65,49,0,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ARE,United Arab Emirates,JOR,Jordan,1794,65,145,238,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ARE,United Arab Emirates,KWT,Kuwait,2885,7310,14137,25166,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ARE,United Arab Emirates,LBN,Lebanon,906,1,0,0,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ARE,United Arab Emirates,OMN,Oman,4862,1852,2255,6181,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ARE,United Arab Emirates,PSE,Palestine,7753,3432,8859,13960,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ARE,United Arab Emirates,QAT,Qatar,1469,2243,6349,24049,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ARE,United Arab Emirates,SAU,Saudi Arabia,0,0,10,0,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ARE,United Arab Emirates,SYR,Syria,1,0,690,0,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ARE,United Arab Emirates,TUR,Turkey,24,29,130,49,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ARE,United Arab Emirates,YEM,Yemen,40295,0,0,0,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,BHR,Bahrain,ARE,United Arab Emirates,308,314,892,0,0,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,BHR,Bahrain,BHR,Bahrain,0,0,0,0,0,0
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,BHR,Bahrain,CYP,Cyprus,23,41,102,0,0,0
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,BHR,Bahrain,IRQ,Iraq,11,3,7,0,0,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,BHR,Bahrain,ISR,Israel,13,13,38,0,0,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,BHR,Bahrain,JOR,Jordan,572,96,94,0,0,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,BHR,Bahrain,KWT,Kuwait,27,156,316,0,0,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,BHR,Bahrain,LBN,Lebanon,340,95,71,0,0,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,BHR,Bahrain,OMN,Oman,127,0,16,0,0,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,BHR,Bahrain,PSE,Palestine,3474,56,3502,0,0,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,BHR,Bahrain,QAT,Qatar,34,47,191,0,0,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,BHR,Bahrain,SAU,Saudi Arabia,0,0,246,0,0,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,BHR,Bahrain,SYR,Syria,0,0,182,0,0,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,BHR,Bahrain,TUR,Turkey,10,8,45,0,0,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,BHR,Bahrain,YEM,Yemen,5599,0,10,0,0,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,CYP,Cyprus,ARE,United Arab Emirates,0,0,0,0,0,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,CYP,Cyprus,BHR,Bahrain,0,0,0,0,0,0
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,CYP,Cyprus,CYP,Cyprus,0,0,0,0,0,0
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,CYP,Cyprus,IRQ,Iraq,0,0,0,0,0,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,CYP,Cyprus,ISR,Israel,0,0,0,0,0,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,CYP,Cyprus,JOR,Jordan,0,0,0,0,0,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,CYP,Cyprus,KWT,Kuwait,0,0,0,0,0,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,CYP,Cyprus,LBN,Lebanon,0,0,0,0,0,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,CYP,Cyprus,OMN,Oman,0,0,0,0,0,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,CYP,Cyprus,PSE,Palestine,0,0,0,0,0,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,CYP,Cyprus,QAT,Qatar,0,0,0,0,0,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,CYP,Cyprus,SAU,Saudi Arabia,0,0,0,0,0,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,CYP,Cyprus,SYR,Syria,0,0,0,0,0,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,CYP,Cyprus,TUR,Turkey,0,0,0,0,0,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,CYP,Cyprus,YEM,Yemen,2,0,0,0,0,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,IRQ,Iraq,ARE,United Arab Emirates,0,0,0,534,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,IRQ,Iraq,BHR,Bahrain,0,0,0,83,1,0
